id,text,eventType,state,district,city,lat,lon,mediaUrl,source,timestamp,verificationStatus,verificationReason,confidence,ml_credibility_score
1,Local authorities responding to Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6101,77.2174,https://example.com/media/1.jpg,News Portal,2026-09-06T11:46:23,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.737875959880296
2,Multiple people affected by Strong Winds in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0729,80.2554,https://example.com/media/2.jpg,Facebook,2026-09-08T12:08:47,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7956711401045303
3,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.5958,77.2036,https://example.com/media/3.jpg,News Portal,2026-09-06T16:39:41,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.591386555647102
4,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0145,72.5904,https://example.com/media/4.jpg,Facebook,2026-09-05T17:08:25,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.6872168401613726
5,Local authorities responding to Fog in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6294,74.8802,https://example.com/media/5.jpg,Twitter,2026-09-02T06:56:17,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6858093892462295
6,Severe Rainfall reported in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0717,72.8666,https://example.com/media/6.jpg,News Portal,2026-09-03T18:56:10,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.6676442041491926
7,Severe Rainfall reported in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0893,72.8912,https://example.com/media/7.jpg,WhatsApp,2026-09-03T08:38:12,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.6676442041491926
8,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5894,88.3552,https://example.com/media/8.jpg,Facebook,2026-09-04T18:24:11,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.4930770663204395
9,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5598,88.365,https://example.com/media/9.jpg,Twitter,2026-09-04T19:51:36,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.4930770663204395
10,Urgent: Fog situation worsening in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6303,74.8723,https://example.com/media/10.jpg,News Portal,2026-09-02T07:55:39,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6211803014367919
11,Multiple people affected by Fog in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6538,74.8653,https://example.com/media/11.jpg,WhatsApp,2026-09-02T06:43:13,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6900265146173761
12,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6153,77.2022,https://example.com/media/12.jpg,Twitter,2026-09-06T16:12:41,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.591386555647102
13,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5676,88.3822,https://example.com/media/13.jpg,Facebook,2026-09-04T16:54:21,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6780089631182333
14,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5888,88.3459,https://example.com/media/14.jpg,News Portal,2026-09-04T19:49:47,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6598097166403365
15,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5909,88.3716,https://example.com/media/15.jpg,Instagram,2026-09-04T19:19:47,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6598097166403365
16,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5681,88.354,https://example.com/media/16.jpg,Facebook,2026-09-04T15:48:45,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6780089631182333
