id,text,eventType,state,district,city,lat,lon,mediaUrl,source,timestamp,verificationStatus,verificationReason,confidence
1,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/0.jpg,Instagram,2026-09-05T14:56:37,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
2,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/1.jpg,News Portal,2026-09-04T15:39:12,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
3,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/2.jpg,News Portal,2026-09-05T11:11:35,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
4,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/3.jpg,Twitter,2026-09-04T15:29:03,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
5,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/4.jpg,WhatsApp,2026-09-06T15:32:58,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
6,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/5.jpg,WhatsApp,2026-09-05T16:09:07,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
7,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/6.jpg,News Portal,2026-09-04T14:37:41,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
8,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/7.jpg,Facebook,2026-09-05T14:44:29,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
9,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/8.jpg,Facebook,2026-09-05T10:22:09,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
10,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/9.jpg,News Portal,2026-09-06T13:37:35,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
11,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/10.jpg,WhatsApp,2026-09-06T16:14:34,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
12,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/11.jpg,News Portal,2026-09-06T12:33:59,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
13,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/12.jpg,WhatsApp,2026-09-05T17:34:29,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
14,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/13.jpg,WhatsApp,2026-09-05T14:18:55,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
15,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/14.jpg,News Portal,2026-09-04T19:26:21,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
16,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/15.jpg,Twitter,2026-09-06T14:20:59,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
17,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/16.jpg,Twitter,2026-09-06T14:54:43,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
